ver.list,fg.com,ml.com,wt.com,eig.com,fg.com.N,ml.com.N,wt.com.N,eig.com.N,time,max.event.size,min.event.size,mean.event.size,pati.n,pati.regular,pati.trad,pati.china,pati.labor,pati.gender,pati.envi,pati.land
團結工聯,4,3,3,1,57,57,27,54,1,37,30,33.5,2,2,2,0,2,0,0,0
台灣學生促進中國民主化促進會,1,6,1,4,53,50,29,52,1,9,9,9,1,1,1,1,0,0,0,0
人本教育基金會,1,6,5,4,53,50,60,52,1,69,22,41.333,3,1,3,2,0,0,1,0
台灣同志遊行聯盟,3,5,8,5,12,11,11,14,1,19,19,19,1,1,1,0,0,1,0,0
在台藏人福利協會,1,6,11,4,53,50,3,52,1,5,5,5,1,1,1,1,0,0,0,0
人民火大行動聯盟,4,3,7,1,57,57,10,54,1,69,30,45.333,3,3,3,0,2,0,1,0
千障權益行動聯盟,5,1,12,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
人人保釣大聯盟,6,2,13,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
901反媒體壟斷聯盟,1,6,1,4,53,50,29,52,1,22,22,22,1,0,1,1,0,0,0,0
公民監督國會聯盟,1,6,5,4,53,50,60,52,1,69,13,34.25,4,1,4,2,0,0,1,0
反教育商品化聯盟,4,3,3,1,57,57,27,54,1,37,4,23.667,3,2,3,0,3,0,0,0
台灣團結聯盟,2,4,5,6,51,55,60,53,1,69,5,26.333,3,1,3,2,0,0,1,0
台灣都市更新受害者聯盟,4,3,3,1,57,57,27,54,1,37,5,21,2,1,2,0,1,0,0,1
法輪功,2,6,4,4,51,50,3,52,1,5,5,5,2,0,2,2,0,0,0,0
卡地布部落議會,1,4,10,6,53,55,2,53,1,3,3,3,1,0,1,0,0,0,0,1
華隆工會,4,3,2,1,57,57,4,54,1,6,4,5,2,0,2,0,2,0,0,0
新高市產業總工會,4,3,6,1,57,57,18,54,1,30,30,30,1,1,1,0,1,0,0,0
華人民主書院,1,6,1,4,53,50,29,52,1,33,9,20.333,3,2,3,2,0,1,0,0
日日春關懷互助協會,4,3,3,5,57,57,27,14,1,37,19,28,2,2,2,0,1,1,0,0
西藏青年會台灣分會,1,6,11,4,53,50,3,52,1,5,5,5,1,1,1,1,0,0,0,0
三鶯部落自救會,4,3,3,1,57,57,27,54,1,37,37,37,1,1,1,0,1,0,0,0
水患治理監督聯盟,2,4,9,6,51,55,6,53,1,13,13,13,1,0,1,0,0,0,0,0
